,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
0,No Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,47989.827,Statutory teaching time,Hours per year,838.27774,57.24812279996842
1,No Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,47989.827,Statutory working time required at school,Hours per year,1223.77691,39.21452235930811
2,No Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,47989.827,Statutory teaching time,Hours per year,838.27774,57.24812279996842
3,No Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,47989.827,Statutory working time required at school,Hours per year,1223.77691,39.21452235930811
4,10 years of Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,67817.578,Statutory teaching time,Hours per year,838.27774,80.9010841681183
5,10 years of Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,67817.578,Statutory working time required at school,Hours per year,1223.77691,55.41661837695564
6,10 years of Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,67817.578,Statutory teaching time,Hours per year,838.27774,80.9010841681183
7,10 years of Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,67817.578,Statutory working time required at school,Hours per year,1223.77691,55.41661837695564
8,15 years of Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,69368.953,Statutory teaching time,Hours per year,838.27774,82.7517536133072
9,15 years of Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,69368.953,Statutory working time required at school,Hours per year,1223.77691,56.68431266610512
10,15 years of Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,69368.953,Statutory teaching time,Hours per year,838.27774,82.7517536133072
11,15 years of Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,69368.953,Statutory working time required at school,Hours per year,1223.77691,56.68431266610512
12,Maximum Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,75602.845,Statutory teaching time,Hours per year,838.27774,90.188300836904
13,Maximum Experience,Australia,Lower secondary general education,Minimum qualification at this stage of career,75602.845,Statutory working time required at school,Hours per year,1223.77691,61.77829012969365
14,Maximum Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,75602.845,Statutory teaching time,Hours per year,838.27774,90.188300836904
15,Maximum Experience,Australia,Lower secondary general education,Most prevalent qualification at this stage of career,75602.845,Statutory working time required at school,Hours per year,1223.77691,61.77829012969365
16,No Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,47980.951,Statutory teaching time,Hours per year,767.75066,62.495486490366545
17,No Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,47980.951,Statutory working time required at school,Hours per year,1338.93273,35.83522153499079
18,No Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,47980.951,Statutory teaching time,Hours per year,767.75066,62.495486490366545
19,No Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,47980.951,Statutory working time required at school,Hours per year,1338.93273,35.83522153499079
20,10 years of Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,68710.159,Statutory teaching time,Hours per year,767.75066,89.49540857444525
